,date,state,positive,tests,hospitalized,death_total,death,positive_total,pos_rate,death_rate,death_rate_est
2430,2020-10-20,MD,590,17966,464.0,4050.0,9,136744.0,3.283980852721808,2.9617387234540455,0.29617387234540454
2431,2020-10-20,ME,27,4617,9.0,146.0,0,5989.0,0.5847953216374269,2.437802638169978,0.24378026381699786
2432,2020-10-20,MI,1871,50167,1050.0,7383.0,20,165994.0,3.7295433252935197,4.4477511235345855,0.4447751123534586
2433,2020-10-20,MN,1092,11604,567.0,2246.0,7,125531.0,9.410548086866598,1.7891994806063842,0.1789199480606384
2434,2020-10-20,MO,1524,0,1439.0,2615.0,25,159625.0,inf,1.6382145653876274,0.1638214565387627
2435,2020-10-20,MP,2,269,,2.0,0,88.0,0.7434944237918215,2.272727272727273,0.22727272727272727
2436,2020-10-20,MS,730,730,664.0,3202.0,31,111322.0,100.0,2.876340705341262,0.2876340705341262
2437,2020-10-20,MT,703,2655,360.0,252.0,11,24093.0,26.478342749529187,1.0459469555472545,0.10459469555472545
2438,2020-10-20,NC,1578,23429,1203.0,3992.0,53,248750.0,6.735242648000342,1.604824120603015,0.1604824120603015
2439,2020-10-20,ND,1029,5204,209.0,417.0,4,33666.0,19.77325134511914,1.2386383888789878,0.12386383888789876
2440,2020-10-20,NE,749,10919,380.0,554.0,6,58817.0,6.859602527704002,0.941904551405206,0.0941904551405206
2441,2020-10-20,NH,82,0,16.0,468.0,0,9828.0,inf,4.761904761904762,0.4761904761904762
2442,2020-10-20,NJ,988,17595,781.0,16227.0,13,222193.0,5.615231599886331,7.30311035901221,0.730311035901221
2443,2020-10-20,NM,594,9213,205.0,942.0,7,37896.0,6.447411266688376,2.485750474984167,0.24857504749841672
2444,2020-10-20,NV,656,28,506.0,1727.0,15,91499.0,2342.8571428571427,1.8874523218832995,0.18874523218832992
2445,2020-10-20,NY,1201,90540,942.0,25672.0,13,486480.0,1.326485531256903,5.277092583456668,0.5277092583456668
2446,2020-10-20,OH,2015,37847,1221.0,5083.0,8,185639.0,5.324067957830211,2.73810998766423,0.273810998766423
2447,2020-10-20,OK,1475,31405,821.0,1191.0,18,109548.0,4.696704346441649,1.087194654398072,0.1087194654398072
2448,2020-10-20,OR,342,6808,183.0,633.0,5,40136.0,5.023501762632197,1.5771377317121786,0.15771377317121787
2449,2020-10-20,PA,1557,13230,918.0,8533.0,33,184872.0,11.768707482993197,4.6156259466008915,0.46156259466008914
2450,2020-10-20,PR,447,447,378.0,769.0,1,29585.0,100.0,2.5992901808348825,0.25992901808348823
